GENE_NAME,V888,V108,V2089,V1279,V1090,V777,N85,V839,V1565,V637,V1505,V1834,V67,V1441,V1920,V1857,V630,V456,N84,N60,V1394,V1048,V18,N83,V538,V1742,V1884,V1297,V125,V1921,V1776,V1860,V940,N82,V148,V1456,V2092,V714,V1337,V553,V406,V1788,V2133,V1874,V221,N58,V1591,V2110,V574,V716,N70,V1321,V1800,V806,V513,V1592,V1528,V1823,V344,V1708,V359,V712,V883,V655,V1699,V624
MIR5090,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MIR6860,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
MIR6720,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
MIR5192,94,52,77,39,39,41,61,88,23,20,36,38,34,55,35,21,59,51,36,72,24,51,82,75,102,77,148,60,56,95,41,70,44,68,66,56,32,32,63,97,135,68,13,25,33,30,39,63,64,61,69,32,31,43,74,30,65,31,63,28,75,30,51,40,82,52
MIR1206,22,9,4,17,23,11,12,30,28,3,45,4,11,15,18,5,9,16,9,16,9,33,32,8,9,14,11,18,16,12,14,7,26,11,13,24,2,9,12,21,31,30,2,5,8,14,24,24,16,23,5,1,10,16,21,56,14,12,13,25,9,12,23,32,8,17
MIR6865,2,1,1,1,1,1,1,2,0,0,1,0,3,2,1,1,2,3,0,2,1,1,1,1,1,0,2,3,1,1,1,2,2,0,4,1,2,4,1,1,3,1,1,1,1,2,1,1,2,4,4,2,2,3,2,1,1,0,1,2,1,4,2,1,1,1
MIR5000,3,12,0,7,5,4,4,6,6,9,2,9,1,0,11,1,6,4,6,8,0,3,5,8,7,5,4,8,4,8,4,3,6,3,5,7,0,10,4,9,11,0,0,11,0,2,2,4,0,8,0,2,0,14,1,2,0,2,2,3,3,0,3,3,3,4
MIR3122,12,2,3,5,6,1,18,4,12,1,12,5,6,2,4,7,9,0,17,3,3,4,3,18,4,6,9,1,2,3,13,6,5,12,3,10,3,3,9,0,2,8,1,2,4,3,13,2,19,7,3,3,2,7,8,5,8,2,3,7,4,3,8,2,7,10
MIR4732,1,0,1,1,1,0,0,1,1,0,1,1,2,1,0,1,1,2,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,3,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1
MIR1299,28,121,41,62,55,74,15,15,14,6,35,30,52,39,88,16,32,21,53,49,14,14,87,49,28,58,17,51,27,69,43,25,22,19,42,39,11,36,58,8,35,42,2,79,38,22,21,12,18,63,40,49,29,38,30,75,10,20,35,58,34,52,28,21,23,36
