GENE_NAME,V888,V108,V2089,V1279,V1090,V777,N85,V839,V1565,V637,V1505,V1834,V67,V1441,V1920,V1857,V630,V456,N84,N60,V1394,V1048,V18,N83,V538,V1742,V1884,V1297,V125,V1921,V1776,V1860,V940,N82,V148,V1456,V2092,V714,V1337,V553,V406,V1788,V2133,V1874,V221,N58,V1591,V2110,V574,V716,N70,V1321,V1800,V806,V513,V1592,V1528,V1823,V344,V1708,V359,V712,V883,V655,V1699,V624
FERMT1,1142,4,303,1201,1780,963,770,606,2429,913,5462,95,616,1690,1382,370,912,245,658,1142,1522,519,2648,829,92,400,1634,454,789,752,780,458,2801,491,647,883,390,1083,60,0,486,592,237,636,1653,1685,1327,1010,517,1342,1512,135,25,1286,1077,1380,1298,575,245,1685,766,1058,1017,83,452,43
OR51B6,6,4,3,0,4,6,0,4,0,0,4,3,3,3,3,18,0,14,0,0,0,0,4,7,5,2,0,4,3,1,1,0,18,4,0,6,0,0,0,0,0,1,31,4,0,0,1,0,3,5,3,0,3,3,0,0,0,0,4,4,3,0,0,15,14,4
EGR2,591,146,69,204,46,83,55,317,79,118,326,117,60,156,111,428,585,31,127,388,104,220,36,44,40,116,141,122,68,266,61,279,74,111,100,434,209,462,354,178,167,201,86,234,264,36,152,267,431,1254,123,211,59,138,137,145,132,1130,624,114,246,482,91,110,154,295
AGPAT5,4148,6461,4814,4609,6606,4228,3147,7898,7937,2304,11364,4329,7013,4525,3459,1590,8510,4375,6860,4029,7483,4820,15387,8057,5732,5048,6506,5719,7747,4482,7031,5148,8097,5009,4715,5247,3670,6556,6873,3548,11420,7791,885,4843,2836,4529,6903,5813,7023,10674,5442,5298,7072,7205,5523,9466,4540,5181,7351,3987,6714,2819,6305,6947,3110,5419
ZNF780B,3261,5149,2689,4266,3865,3896,1248,4531,4506,1411,3199,4233,4302,4602,2984,1272,5393,6950,2265,3402,2072,2502,4759,4424,6059,1580,3037,2605,4220,3947,1714,3102,2946,2599,3591,2996,1413,3861,2095,2869,4486,2266,524,6613,3847,3298,3386,1940,4118,4815,4786,5478,5098,3881,4569,4919,2701,1222,3137,2963,3302,4409,2881,2858,3165,5740
ABHD1,121,142,91,164,187,243,82,130,224,33,76,131,170,164,209,120,170,185,67,174,90,71,231,156,92,108,110,92,177,75,80,119,82,97,99,49,52,119,69,76,81,97,134,154,252,137,53,105,99,226,277,344,123,142,137,283,53,83,100,183,118,198,126,80,206,136
NRSN2,442,416,597,616,440,468,335,181,695,90,1121,82,318,274,1042,203,214,122,358,804,424,559,1539,550,217,389,99,413,227,600,462,545,512,395,262,359,284,348,454,213,322,360,233,793,483,879,287,673,1245,443,1229,485,197,441,366,395,695,340,128,315,462,306,617,210,223,319
HBQ1,433,71,33,123,161,23,61,172,428,12,592,53,296,15,41,74,77,15,159,198,142,518,2554,36,31,1883,148,16,285,71,98,184,2029,39,67,431,378,55,91,26,215,716,96,43,28,326,1332,420,723,238,107,220,70,683,302,111,399,1761,13,39,752,15,497,185,1876,495
TEX22,425,585,426,556,748,299,143,273,273,150,121,561,478,532,1297,113,300,229,196,605,282,70,883,408,443,457,249,218,571,240,219,454,333,230,668,242,139,216,292,795,316,258,85,399,674,447,197,103,189,412,587,726,561,390,324,474,66,147,151,479,480,424,436,523,579,365
CSTA,435,333,562,150,596,0,296,560,293,41,908,349,220,1094,49,134,737,0,641,391,866,579,443,212,615,2227,768,504,590,701,916,358,333,184,273,2698,493,797,476,280,1076,1815,112,816,225,895,365,844,237,636,425,76,172,1140,230,47,723,515,3088,878,747,111,475,91,616,2310
ABCA13,478,318,326,394,631,308,1698,384,129,138,578,3198,677,494,3315,910,505,4707,524,1398,475,446,291,1273,301,6464,545,147,350,1412,1068,991,285,735,298,840,865,125,580,2168,2827,349,276,527,482,2660,90,1115,244,2903,5169,9788,3136,1073,781,285,463,631,267,5019,4593,56,405,131,334,102
CD99,4034,3357,6075,2807,9155,3662,6696,8633,5287,2863,5598,6754,4329,5177,5804,1366,4338,1712,9982,3956,6179,3392,4067,9419,11148,4715,4543,5175,4569,4047,4282,3972,2411,4643,8015,7377,2692,5276,7844,4885,4188,2750,544,4185,3108,2294,3194,2788,2372,2716,4026,1998,7508,4632,4324,7334,3640,2242,4968,6016,3403,3432,2143,1873,10224,6052
ZNF891,3086,2927,2351,4241,4823,4324,1892,2867,2933,1583,2108,3135,2597,3385,4014,1135,3825,3532,2683,1384,3176,2233,2995,5005,3933,2009,2062,2753,3052,2696,2958,2745,2039,2198,2742,2614,834,1691,2871,2149,3298,2316,563,3787,3975,1748,1581,1657,2172,2818,2924,3238,3330,2846,2170,5419,1596,1382,1760,2989,2294,1950,2381,1487,3052,3225
ZNF781,198,229,73,350,375,526,100,245,386,121,169,209,385,549,672,104,350,445,221,146,409,109,464,410,175,293,83,100,180,193,290,174,171,169,130,60,126,137,208,59,422,281,73,360,285,243,64,115,210,298,408,393,267,184,160,467,222,138,354,295,180,251,202,224,230,363
OR7D2,234,7,6,2,7,13,10,22,0,58,7,53,3,19,26,72,13,10,16,45,9,184,5,6,18,236,3,18,17,6,3,4,6,9,321,1,7,93,182,33,4,7,118,27,28,33,7,0,4,154,251,14,348,6,44,19,17,9,433,4,223,14,6,66,15,12
TMEM56-RWDD3,107,123,78,150,119,112,1,134,166,23,129,151,179,146,1,26,140,16,153,59,140,109,118,142,142,136,93,74,161,125,1,4,273,23,61,77,1,42,1,37,123,127,7,85,1,51,429,98,123,58,112,99,140,104,88,189,74,228,95,1,4,109,80,96,339,412
SDR42E2,31,0,84,14,10,22,12,0,4,0,0,52,0,15,36,47,21,18,16,30,19,14,8,15,15,17,19,15,20,13,12,26,8,10,78,0,39,19,5,45,26,9,49,24,0,5,14,30,37,37,46,36,42,9,17,0,35,9,26,9,57,31,24,28,27,14
SORBS3,2658,1278,3781,869,1080,1671,1856,1784,1527,831,1199,807,1412,1789,2006,796,2423,1085,2866,2206,839,1639,763,2900,1906,1363,1723,1542,1596,1418,968,1542,1226,1687,3635,1075,1645,1663,1812,2799,1317,1104,328,1352,690,1033,657,959,1377,3160,2162,1790,3071,2498,1639,1372,1237,1749,785,1121,2531,1557,1111,1008,3576,1314
PKM,25678,13865,26887,19491,19558,17229,29716,21731,45932,4339,20142,7536,23923,27876,13404,3933,28952,7242,39577,24141,35806,16606,18953,18811,17587,23057,58950,18758,23924,19013,24999,19930,9564,15880,13831,30740,18392,35924,27486,14231,17195,37616,5739,36068,17878,20875,21326,24793,50940,27100,24801,14617,26370,21466,19359,13491,22380,9904,20318,16833,18032,11233,14331,15362,26770,32193
