GENE_NAME,V1884,N58,V630,N60,V1297,NV1428,N82,V940,V2092,V624,V777,V553,V1441,V1921,V538,V1857,V456,NV912,V2089,V1823,V2241,N54,V655,V2110,V839,V125,N83,V637,V712,NV911,V2133,V1742,V1591,V108,V1874,V221,V148,N70,N87,V574,V359,V1337,V883,V1592,V1422,V1708,V1505,V18,V1788,V1776,N84,V1800,V716,N86,V888,V1321,V1279,V1528,V344,N85,V1699,V1456,V1394,V714,V67,V1090,V1860,V406,V1834,V1048,V806,V513,V1565,V1920
MIR4802,2,1,11,1,3,6,3,3,0,13,0,22,4,1,3,2,2,3,0,4,4,3,2,0,5,6,1,0,0,4,7,7,1,5,1,1,1,0,0,4,3,3,2,0,2,2,0,5,0,3,3,3,0,2,3,4,4,2,0,3,2,9,4,2,1,0,0,4,11,2,3,1,4,0
MIR4751,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MIR378A,6,3,5,3,2,4,4,1,1,10,5,12,5,4,1,9,4,1,4,2,4,9,4,7,1,7,1,6,12,3,4,5,0,7,9,3,4,1,9,3,8,5,2,11,5,1,2,2,6,10,3,5,0,0,4,5,10,0,1,2,5,4,5,7,6,7,5,8,11,2,11,1,7,10
MIR578,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
MIR32,22,10,9,16,14,14,11,13,4,4,10,22,1,11,13,6,12,10,2,4,11,12,5,6,28,16,13,3,12,4,0,8,10,15,14,5,6,10,8,4,8,11,8,10,24,18,11,10,5,4,14,5,9,6,13,6,12,16,11,5,17,9,10,12,7,7,8,16,13,8,5,11,10,13
MIR4487,0,3,0,4,0,0,0,0,0,0,0,10,0,2,0,1,0,0,0,0,0,1,5,0,0,0,0,0,18,0,3,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,13,0,0,0,0,1,1,2,0,0,0,10,0,0,0,0,4,0,0,3,0,1
MIR5090,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,2,1
MIR8081,2,0,0,1,0,0,0,0,1,0,2,0,2,0,0,2,0,0,0,0,3,0,1,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,3
MIR4292,31,31,50,21,19,26,7,48,18,34,6,43,33,17,25,14,10,27,42,18,20,29,14,14,32,41,30,11,11,23,2,42,43,12,17,12,34,21,21,34,45,21,40,20,16,23,22,52,32,22,21,30,21,39,59,28,21,12,34,32,57,34,18,12,27,36,28,46,20,40,42,21,32,20
MIR1184-2,19,34,13,31,3,21,13,1,25,16,16,11,19,14,20,7,11,25,41,1,21,19,26,28,13,32,16,4,12,26,7,49,22,10,20,10,24,20,37,23,35,14,1,12,11,26,26,15,21,13,33,47,19,11,38,20,36,25,32,34,15,14,25,13,30,11,20,11,2,0,2,13,31,23
MIR8076,1,2,4,3,1,2,0,3,0,1,0,1,2,2,1,0,1,2,4,1,7,9,2,1,0,2,0,0,2,1,0,0,2,2,0,2,2,1,0,2,0,3,0,1,2,0,1,2,0,1,0,2,3,0,2,2,3,1,2,0,3,2,2,1,1,1,0,1,4,4,2,0,2,0
MIR8085,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1,1,1,1,2,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MIR378D1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
MIR6860,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,2,1,0,0,0,6,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR6720,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,1,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR548C,9,2,5,5,3,6,4,3,7,4,3,16,1,5,5,3,4,4,6,2,7,9,6,0,2,8,12,2,7,5,4,4,3,10,3,0,9,1,2,4,5,6,3,4,3,2,1,0,6,1,10,10,7,3,4,2,8,1,1,4,3,3,8,4,1,3,2,14,3,4,5,5,3,2
MIR6862-2,3,4,3,12,6,3,10,9,5,12,5,11,6,2,5,6,10,7,7,7,2,10,4,6,6,6,9,3,7,5,2,2,5,9,6,7,3,6,5,7,9,9,5,4,10,12,9,5,7,8,6,7,11,2,7,7,6,4,11,5,8,4,2,5,2,7,2,19,3,6,6,11,11,5
MIR548AM,6,4,2,8,2,7,0,1,6,1,5,7,6,1,16,6,6,3,5,5,4,4,3,3,6,5,4,6,1,1,3,3,3,4,9,2,4,1,1,2,2,7,9,6,10,10,4,10,2,6,2,7,7,2,3,10,2,3,6,0,4,23,6,5,2,1,6,11,10,1,9,5,8,0
MIR378E,44,10,25,22,19,32,38,19,8,31,22,42,26,16,20,12,23,20,14,16,23,30,14,23,16,34,42,6,15,20,1,21,7,14,20,33,9,28,23,13,22,36,21,27,23,27,26,7,30,14,33,26,42,31,15,22,16,11,20,25,30,22,31,23,25,37,18,33,22,22,32,22,21,33
MIR3117,1,0,1,3,0,0,12,2,0,2,7,0,1,3,1,6,10,0,0,0,0,1,2,0,1,0,3,0,0,0,0,0,0,0,3,2,8,0,3,4,1,0,0,13,4,3,1,0,0,6,2,0,4,3,0,3,3,3,0,2,0,2,0,2,1,5,0,0,2,0,2,0,0,17
MIR217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
MIR6820,15,7,4,15,8,6,6,9,3,11,7,3,7,5,6,0,6,6,7,2,9,15,8,8,7,10,10,3,12,3,2,4,10,7,8,10,16,7,10,7,8,5,8,18,5,19,5,6,15,9,4,7,19,4,6,10,8,3,3,5,10,2,11,4,13,11,6,7,5,6,10,19,8,11
MIR3194,35,7,15,20,12,8,8,13,6,2,17,10,11,15,18,3,21,19,4,20,10,12,11,9,15,20,12,11,13,7,2,16,8,16,8,12,3,20,6,21,7,5,19,18,8,4,9,14,3,4,7,11,26,11,16,20,13,9,12,7,24,4,11,6,8,11,16,18,24,16,12,15,7,19
MIR5192,148,30,59,72,60,45,68,44,32,52,41,97,55,95,102,21,51,43,77,31,55,40,40,63,88,56,75,20,30,78,13,77,39,52,25,33,66,69,94,64,75,63,51,30,82,28,36,82,68,41,36,31,61,85,94,32,39,65,63,61,82,56,24,32,34,39,70,135,38,51,43,74,23,35
MIR1206,11,14,9,16,18,5,11,26,2,17,11,21,15,12,9,5,16,5,4,12,12,17,32,24,30,16,8,3,12,9,2,14,24,9,5,8,13,5,3,16,9,12,23,56,11,25,45,32,30,14,9,10,23,0,22,1,17,14,13,12,8,24,9,9,11,23,7,31,4,33,16,21,28,18
MIR6890,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MIR6513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MIR653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
MIR519D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0
MIR1323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0
MIR4518,11,11,5,11,8,4,0,7,1,27,3,28,4,8,8,10,1,2,0,1,5,8,7,4,11,2,2,0,10,0,0,3,1,7,3,6,7,3,1,2,3,7,1,3,4,8,1,3,0,4,3,5,7,0,3,3,8,3,10,0,5,6,7,5,3,3,4,7,6,2,10,6,0,7
MIR6865,2,2,2,2,3,3,0,2,2,1,1,1,2,1,1,1,3,0,1,0,1,3,1,1,2,1,1,0,4,1,1,0,1,1,1,1,4,4,1,2,1,1,2,1,1,2,1,1,1,1,0,2,4,2,2,2,1,1,1,1,1,1,1,4,3,1,2,3,0,1,3,2,0,1
MIR4659A,50,13,21,17,9,18,16,21,5,13,44,21,20,24,8,15,21,13,8,17,21,19,14,12,28,18,41,23,22,5,0,12,25,20,25,24,24,10,7,16,24,27,12,55,45,18,16,28,29,15,19,17,16,12,22,13,22,15,12,4,13,29,16,21,16,27,7,43,40,28,12,28,22,17
MIR376C,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,2,0,0,4
MIR631,26,12,18,12,13,20,19,22,3,17,15,20,9,9,17,4,23,6,15,3,17,12,5,6,13,40,28,11,12,15,5,14,16,19,10,14,58,7,30,29,22,15,9,8,20,14,7,22,13,14,27,20,17,19,42,26,18,12,10,36,21,19,7,14,21,13,22,16,18,6,15,17,19,26
MIR7850,0,0,0,0,3,0,0,0,0,0,0,3,0,0,2,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0
MIR181D,11,3,8,7,3,0,4,2,1,3,3,7,5,7,7,3,6,2,2,2,3,11,3,5,8,2,4,4,4,3,1,0,3,5,3,6,2,15,0,6,8,6,1,3,2,4,1,3,2,0,6,8,23,2,0,10,5,3,3,0,5,3,1,3,3,4,4,6,7,4,5,9,1,4
MIR1233-1,2,4,2,7,5,1,2,6,3,2,4,1,3,3,2,4,5,4,3,0,2,6,1,5,7,3,1,1,4,4,1,3,2,6,2,3,1,9,3,4,1,3,4,3,3,3,1,1,2,1,6,6,7,2,2,4,2,4,3,3,4,1,2,2,2,6,1,4,2,3,3,9,5,5
MIR502,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,2,0,1,0,3,0,1,1,0,0,0,0,0
MIR5000,4,2,6,8,8,3,3,6,0,4,4,9,0,8,7,1,4,5,0,2,2,7,3,4,6,4,8,9,0,1,0,5,2,12,11,0,5,0,0,0,3,4,3,2,5,3,2,5,0,4,6,0,8,1,3,2,7,0,2,4,3,7,0,10,1,5,3,11,9,3,14,1,6,11
MIR4306,14,6,6,5,7,13,2,6,7,5,5,13,5,5,5,4,11,7,1,5,0,3,2,1,4,11,9,0,7,3,1,4,3,4,5,4,8,4,3,6,3,9,6,11,10,16,3,5,4,10,6,2,3,2,8,13,6,4,1,1,3,3,1,3,0,5,4,10,9,3,7,4,6,6
MIR3916,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MIR3960,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MIR3945,4,7,20,5,4,9,7,14,4,66,3,17,39,21,47,13,2,17,6,12,1,8,0,6,63,1,9,5,19,29,4,29,0,9,24,51,4,10,22,12,9,9,14,19,18,17,3,7,2,11,32,2,5,37,46,1,11,35,13,7,10,20,12,84,4,15,7,7,16,2,28,2,0,3
MIR4697,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MIR6794,0,0,2,1,0,0,0,0,2,0,0,0,2,2,0,6,3,0,0,0,0,0,1,0,0,1,0,1,0,0,5,0,0,0,1,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,2,1,2,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,4
MIR515-1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
MIR607,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,1,0,0,0,1,0
MIR2115,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MIRLET7E,0,2,2,9,0,0,4,1,3,0,3,1,5,0,2,5,7,4,2,1,1,1,5,3,4,2,2,0,5,3,1,4,1,18,0,5,4,4,2,3,5,0,4,5,0,3,0,0,0,0,0,7,22,0,3,6,1,0,3,0,0,0,1,3,4,1,4,0,5,2,0,0,2,2
MIR421,83,31,67,59,74,55,53,50,10,67,93,91,57,87,145,36,192,37,23,45,76,54,45,26,95,81,104,38,68,17,5,47,55,104,83,88,62,47,29,76,46,91,56,120,64,99,26,60,55,69,46,87,45,43,36,85,88,16,37,38,57,29,67,43,56,106,64,107,140,42,56,46,36,70
MIR596,0,0,0,0,0,2,6,0,1,0,5,4,2,2,0,4,0,2,2,0,0,5,0,2,0,0,4,0,0,2,1,1,0,0,0,1,0,4,0,0,4,0,0,5,0,0,0,1,0,5,5,0,2,3,5,0,0,2,0,3,0,0,0,0,1,0,0,4,2,1,0,1,0,1
MIR181A1,10,4,1,2,9,10,10,1,1,3,1,6,0,8,5,3,6,10,8,12,3,5,5,1,5,1,11,0,0,11,1,7,1,10,13,1,8,2,4,1,4,13,4,23,2,0,1,8,7,6,15,3,2,13,4,10,8,2,10,6,7,4,3,3,4,9,7,11,21,12,2,6,5,4
MIR6780A,0,2,6,2,1,4,5,10,2,3,2,10,1,5,4,0,5,1,5,1,0,4,1,0,4,11,6,0,4,1,2,4,15,6,2,1,6,7,0,2,3,2,2,3,2,2,1,0,2,2,3,1,7,5,5,7,0,2,4,2,8,4,0,0,3,3,5,5,4,1,5,5,3,5
MIR6777,21,10,2,16,3,6,8,4,6,5,2,9,17,1,8,0,6,20,12,5,13,3,3,5,10,6,8,9,5,13,4,12,31,5,6,14,9,5,10,13,20,8,6,5,7,11,7,12,7,8,10,18,8,12,10,11,3,2,9,8,9,10,3,1,8,14,8,29,8,16,28,1,3,21
MIR3926-2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
MIR6721,1,4,2,3,3,1,1,1,1,1,1,2,5,1,1,4,2,1,1,1,1,11,4,1,2,3,1,1,7,1,1,1,3,1,2,1,1,7,1,1,1,1,1,1,1,1,2,1,1,1,1,1,11,3,2,2,1,1,2,1,1,1,1,10,2,1,1,1,5,1,1,20,1,1
MIR3122,9,3,9,3,1,19,12,5,3,10,1,0,2,3,4,7,0,3,3,2,10,6,2,2,4,2,18,1,3,2,1,6,13,2,2,4,3,3,20,19,4,9,8,5,12,7,12,3,8,13,17,2,7,17,12,3,5,8,3,18,7,10,3,3,6,6,6,2,5,4,7,8,12,4
MIR1255B1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
MIR4732,0,1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,2,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,3,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,2,1,1,1,1,1,1,1,1,0
MIR4724,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,2,1,1,1,0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
MIR6870,2,1,0,5,1,1,5,1,2,4,0,0,11,2,14,2,2,2,0,0,0,4,5,0,8,1,2,4,6,2,2,0,0,2,4,8,0,1,0,1,1,3,0,6,0,1,2,2,9,0,2,2,7,1,1,1,4,3,6,1,0,3,8,1,0,3,2,19,1,4,2,1,0,4
MIR655,0,0,0,1,0,0,1,0,3,0,4,0,1,0,0,0,5,0,0,2,0,0,16,0,0,2,0,0,0,0,0,5,1,4,0,0,0,0,1,2,2,0,3,1,1,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,3,4,0,6,3,0,0,3,0,7
MIR6859-2,22,26,40,22,35,17,23,25,14,25,42,51,16,20,33,13,43,25,18,19,28,39,25,30,28,55,32,17,24,13,5,38,52,41,29,18,56,29,21,20,66,26,40,27,34,26,16,18,34,31,25,49,30,27,39,63,29,20,18,27,50,21,24,19,42,31,29,26,46,32,45,18,26,40
MIR548T,19,7,7,18,11,17,8,8,9,6,7,25,9,7,16,3,14,3,16,6,17,17,12,7,11,9,13,2,20,7,7,5,9,25,19,4,14,10,6,6,2,23,4,13,10,16,15,4,17,18,26,11,21,6,7,7,11,12,10,13,14,2,11,13,7,11,6,12,18,3,8,9,8,4
MIR135A2,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MIR1299,17,22,32,49,51,21,19,22,11,36,74,8,39,69,28,16,21,30,41,20,15,36,21,12,15,27,49,6,52,13,2,58,21,121,79,38,42,40,19,18,34,58,28,75,14,58,35,87,42,43,53,29,63,19,28,49,62,10,35,15,23,39,14,36,52,55,25,35,30,14,38,30,14,88
MIR6128,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR3662,20,28,13,21,10,32,46,40,21,25,37,15,20,21,16,6,18,10,19,9,19,23,38,15,28,33,36,4,5,8,5,43,40,15,24,19,16,11,14,28,38,28,15,38,30,20,43,33,30,26,42,17,35,39,37,13,20,40,35,44,28,21,19,25,16,22,15,21,29,35,16,33,31,12
MIR3975,63,15,20,23,50,56,45,41,14,50,18,41,30,52,67,14,39,24,21,29,42,31,10,72,49,19,61,11,37,31,4,30,16,31,36,44,36,29,73,49,28,42,16,49,37,46,46,25,49,53,46,24,44,79,41,37,53,58,30,67,45,19,23,24,27,57,33,78,14,30,12,16,27,49
MIR1245B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR384,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR199A2,1,8,0,6,0,1,3,1,1,0,0,0,2,0,0,3,5,2,1,0,1,0,3,1,0,4,3,0,0,3,1,2,1,0,1,3,0,2,6,1,3,0,0,3,3,1,0,0,1,0,1,1,0,2,7,14,0,1,0,3,2,1,1,0,2,0,3,1,0,1,1,0,0,2
MIR4507,11,2,3,8,3,10,22,1,3,1,6,14,5,6,8,4,10,15,17,2,4,8,1,2,10,7,25,13,5,11,1,2,4,13,5,3,22,14,12,3,1,15,2,0,3,5,6,2,1,4,9,27,3,3,16,23,2,0,1,18,17,3,4,3,3,6,6,4,53,1,1,8,1,37
MIR4297,0,0,0,2,1,2,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,1
MIR504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
MIR6760,5,0,1,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,2,1,0,0,0,2,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,1,0,0,0,1,0,0
MIR4309,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,1
MIR190B,0,0,0,5,0,0,0,0,7,0,0,5,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,5,0,5,2,0,0,5,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,5,1,4,0,0,0,0,0,0,0,2,0,0,2,0,2
MIR3176,17,22,22,25,18,18,13,39,7,16,11,99,8,7,19,12,22,32,7,7,25,15,15,11,14,42,16,14,18,12,12,45,35,27,12,20,36,27,10,13,35,11,15,16,20,19,8,22,18,7,5,41,23,8,12,19,21,6,26,9,37,27,16,24,15,32,10,43,19,50,15,13,12,21
MIR5701-2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,10,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2
MIR6748,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MIR1238,15,3,5,9,16,7,11,4,5,11,7,16,3,13,7,3,6,8,11,2,6,9,6,12,6,15,13,4,12,14,5,8,26,6,12,3,12,3,16,20,8,7,14,9,7,4,10,5,8,8,18,7,13,10,21,4,8,11,10,22,33,5,7,10,7,6,5,5,11,5,14,8,8,3
MIR4741,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MIR3684,25,5,17,7,42,9,15,6,12,29,3,9,17,21,24,6,17,6,26,7,7,15,6,19,6,13,17,7,9,16,3,15,11,18,10,10,6,9,11,23,8,38,7,13,24,26,22,8,48,35,10,4,11,7,18,5,9,25,8,7,22,10,8,7,8,21,9,61,21,18,16,11,6,10
MIR4517,2,1,1,2,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,2,1,87
MIR122,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
MIR548AP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0
