TE,V888,V108,V2089,V1279,V1090,V777,N85,V839,V1565,V637,V1505,V1834,V67,V1441,V1920,V1857,V630,V456,N84,N60,V1394,V1048,V18,N83,V538,V1742,V1884,V1297,V125,V1921,V1776,V1860,V940,N82,V148,V1456,V2092,V714,V1337,V553,V406,V1788,V2133,V1874,V221,N58,V1591,V2110,V574,V716,N70,V1321,V1800,V806,V513,V1592,V1528,V1823,V344,V1708,V359,V712,V883,V655,V1699,V624
ALU,9143.6,8986.45,10564.3,8150.22,8221.49,6061.99,7290.05,7881.51,7059.21,7523.42,6618.57,9892.05,8766.84,6021.26,9787.8,6009.74,6877.89,8183.79,8072.73,9306.07,5579.7,6385.99,6264.46,9375.79,9357.52,9511.53,13599.0,7721.05,8590.44,6612.61,6959.7,4741.42,6593.15,7271.96,7903.22,5909.45,4629.16,6303.3,7430.7,13410.6,12638.6,7317.08,4091.96,6513.3,7065.91,7019.28,6148.82,5222.05,8245.11,11432.6,8494.2,9322.82,8582.4,7599.44,7370.1,7800.57,5652.82,4946.98,8698.03,9530.9,8871.46,6516.82,6081.12,7078.72,9072.45,6690.64
AluJo,4724.76,2273.46,101.421,3258.88,2730.77,2941.52,3677.09,3839.13,3744.24,8.64467,2930.32,4179.26,74.3837,2868.0,5137.53,2825.34,2666.19,3125.83,4071.69,4933.68,2744.18,3670.61,2626.65,3989.25,3510.82,5215.14,4257.09,2681.86,4826.98,2720.84,2831.86,2571.26,3666.81,3429.15,4382.27,2426.03,2532.95,2624.93,3504.48,7165.52,5306.78,3817.81,1896.2,3269.16,3609.03,4019.45,3312.06,3165.13,4266.58,3849.75,3074.27,4027.51,4512.76,4184.29,3155.55,3451.88,2600.59,2786.46,3709.33,2902.06,4705.06,3006.96,3394.73,3315.78,4838.48,3233.89
AluSg1,2948.53,2068.31,2650.57,1955.01,1834.74,1808.94,2264.91,2003.04,2455.01,1537.59,1606.19,2797.51,1890.11,1597.68,3381.74,1929.21,1822.75,1915.39,2286.03,2886.97,1431.8,1812.45,1530.32,2423.3,2156.05,3077.46,3565.63,1861.76,3059.82,1743.62,1588.14,1390.67,2033.1,1944.93,2551.56,1532.84,1876.8,1649.88,1848.27,4816.33,2808.89,2151.63,1619.24,1892.93,1945.05,2250.72,2021.69,1659.19,1889.25,3110.56,2472.96,2856.4,3191.61,2194.47,2103.8,1871.94,1516.94,1313.74,2171.39,2234.83,3171.96,1938.28,1845.14,1820.02,3009.53,1744.85
AluSx1,756.095,126.705,0.0099518,495.396,240.171,697.467,1616.28,1171.53,740.682,0.00990243,700.312,1053.63,0.00997236,589.913,942.693,763.668,664.561,486.402,1155.7,1010.06,853.609,1056.5,477.676,682.595,322.372,1152.75,663.601,311.465,1354.15,575.748,598.586,740.443,817.724,1497.77,1207.8,489.195,817.798,535.834,786.227,2024.14,1005.54,1589.88,236.1,1283.85,674.604,898.038,1385.73,1464.17,1068.64,266.044,237.147,428.421,954.227,1240.33,657.322,727.361,608.725,639.883,1079.57,263.452,1346.91,707.978,757.249,907.638,1054.16,730.043
AluY,28289.3,15642.1,26331.8,14193.8,12535.9,12898.5,16200.7,18354.4,21456.2,16604.0,12258.1,34512.5,19348.4,14650.4,38088.1,32596.2,15083.1,12824.0,20673.9,28825.2,11642.1,15706.2,16154.1,24467.3,15967.0,35003.7,32245.8,14880.5,32841.0,14598.0,14376.6,17985.2,17744.0,18124.4,25107.7,18216.6,29456.3,12521.0,13298.5,54054.0,23678.2,19336.7,32074.1,15240.5,17433.0,19816.4,15572.9,20495.5,12202.3,24454.4,28071.0,25721.6,26702.8,18020.2,18038.7,15227.7,12503.7,11746.9,15119.7,16041.5,31157.7,14135.7,15429.6,20086.9,37642.9,14130.9
AluYd2,70.3958,40.9895,60.8861,30.1016,21.645,19.0961,57.4318,13.9681,43.222,14.2428,11.3501,178.136,63.6413,12.2047,165.644,285.994,32.8495,0.00935833,178.502,132.712,59.182,13.7713,16.4524,113.949,21.9778,124.259,97.9058,52.764,130.874,47.9479,44.8552,31.9999,55.8014,15.7665,124.798,21.6335,46.3918,53.9771,55.1184,293.117,145.756,117.478,280.258,59.0015,77.1889,55.739,38.0047,112.928,54.4106,186.2,160.951,147.418,75.2498,16.0533,50.8862,71.6248,19.8897,47.9499,56.8438,12.6588,93.7425,41.6219,58.7143,128.993,127.84,0.00281859
AluYd3,750.524,529.777,394.963,579.243,764.458,347.432,717.812,485.568,355.278,684.732,347.535,1025.01,178.7,332.581,781.65,551.561,655.864,506.948,631.671,843.784,378.046,427.858,493.311,1233.6,706.342,384.647,1358.6,705.027,540.479,395.61,741.804,549.565,521.552,775.726,509.414,296.482,420.758,376.062,396.382,1563.61,971.261,536.202,379.615,276.628,686.32,264.731,529.969,479.762,460.733,655.088,440.947,391.383,639.655,409.277,546.411,602.581,467.221,290.951,218.891,393.378,542.617,546.286,288.646,494.34,949.161,254.796
AluYd3a1,1978.61,1043.44,1962.44,1169.81,1027.45,968.964,1233.46,1209.73,1482.28,998.168,824.463,2094.98,1345.39,990.681,2601.65,1451.11,1066.39,1070.83,1324.53,1824.29,778.139,1005.62,906.741,1480.25,1174.38,2175.64,2467.0,901.741,2119.23,1074.18,908.194,939.63,957.709,1233.95,2132.9,785.152,1426.62,919.911,1085.01,3578.08,1735.31,1158.62,1215.23,1123.14,1013.3,1421.39,1046.96,1055.82,1223.67,1620.53,1527.52,1791.06,1892.77,1333.57,1238.84,1062.1,713.339,960.92,1183.1,1390.94,1852.22,1114.71,1109.84,1264.72,2246.96,836.129
CR1_Mam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ERV3-16A3_I,16.0,22.0,15.0,15.0,19.0,17.0,10.0,23.0,14.0,0.0,3.0,20.0,15.0,9.0,40.0,32.0,18.0,18.0,14.0,42.0,13.0,7.0,15.0,10.0,21.0,16.0,23.0,20.0,35.0,9.0,6.0,19.0,17.0,15.0,44.0,7.0,25.0,20.0,19.0,58.0,44.0,20.0,37.0,16.0,16.0,28.0,12.0,11.0,17.0,100.0,26.0,32.0,32.0,17.0,22.0,18.0,10.0,5.0,15.0,16.0,22.0,33.0,13.0,31.0,15.0,22.0
FAM,3437140.0,1167030.0,4802480.0,1222040.0,1304960.0,1740080.0,2210920.0,1271830.0,3246840.0,616465.0,1989030.0,1290630.0,2879360.0,3006280.0,1777490.0,499346.0,2167350.0,1461380.0,2805030.0,1805380.0,3060520.0,2059850.0,3695720.0,1741200.0,1069720.0,3495330.0,2481360.0,560029.0,2153470.0,2013880.0,1773700.0,2351240.0,2249630.0,1752640.0,3042150.0,2240290.0,1823430.0,1383080.0,1798530.0,2497610.0,1233650.0,3845740.0,1045050.0,2173440.0,1536040.0,2110040.0,1859860.0,2108910.0,1971710.0,1694290.0,3868050.0,2436360.0,3885120.0,2224400.0,1823080.0,1399100.0,2442260.0,2572200.0,2540280.0,1319500.0,2698760.0,922512.0,2073220.0,2097280.0,3693220.0,2279980.0
FLAM,13011.8,9602.38,12282.4,7744.34,10311.1,7966.55,9295.06,9113.65,12193.8,10064.9,9061.87,15045.7,7221.2,11801.6,10627.7,4864.8,12315.0,10575.1,13222.3,10649.9,13174.2,6580.05,11429.3,14116.8,10988.4,11293.2,14282.3,11064.5,11504.7,10952.4,10215.4,9764.34,7979.87,13517.9,10086.9,11509.2,6213.67,8227.6,11219.6,21060.6,12371.0,18696.3,5786.03,14677.7,9266.08,8851.63,10741.3,8543.05,10655.0,16025.5,13609.0,10239.2,12313.6,9632.63,10487.7,12645.4,8880.69,5292.79,8904.92,8494.21,9968.7,7807.07,6757.7,8361.79,18212.4,10690.8
FRAM,2372.87,1889.46,1894.45,1560.69,2051.32,1345.29,1877.24,1750.86,2288.6,1579.77,1793.27,2743.78,1408.1,1886.1,2047.88,1215.71,2193.06,2094.84,2561.22,1998.65,1970.46,1264.71,3084.4,2748.62,2024.49,2246.35,2887.39,2151.64,2326.02,1967.83,2073.03,3037.51,1789.41,2399.59,1771.57,2099.07,1353.57,1361.3,2023.06,3776.04,2404.58,3225.56,1411.55,2586.77,3237.87,1470.13,2070.68,2876.85,1739.42,3205.23,2117.91,2241.92,2244.57,2159.55,1800.26,2299.96,1734.0,1361.25,1351.34,1768.42,2001.8,1629.16,1586.16,1320.07,3231.57,1880.85
