TE,V888,V108,V2089,V1279,V1090,V777,N85,V839,V1565,V637,V1505,V1834,V67,V1441,V1920,V1857,V630,V456,N84,N60,V1394,V1048,V18,N83,V538,V1742,V1884,V1297,V125,V1921,V1776,V1860,V940,N82,V148,V1456,V2092,V714,V1337,V553,V406,V1788,V2133,V1874,V221,N58,V1591,V2110,V574,V716,N70,V1321,V1800,V806,V513,V1592,V1528,V1823,V344,V1708,V359,V712,V883,V655,V1699,V624
ALU,9143.6,8986.45,10564.3,8150.22,8221.49,6061.99,7290.05,7881.51,7059.21,7523.42,6618.57,9892.05,8766.84,6021.26,9787.8,6009.74,6877.89,8183.79,8072.73,9306.07,5579.7,6385.99,6264.46,9375.79,9357.52,9511.53,13599.0,7721.05,8590.44,6612.61,6959.7,4741.42,6593.15,7271.96,7903.22,5909.45,4629.16,6303.3,7430.7,13410.6,12638.6,7317.08,4091.96,6513.3,7065.91,7019.28,6148.82,5222.05,8245.11,11432.6,8494.2,9322.82,8582.4,7599.44,7370.1,7800.57,5652.82,4946.98,8698.03,9530.9,8871.46,6516.82,6081.12,7078.72,9072.45,6690.64
AluSc,122871.0,92284.7,96439.7,83984.4,83535.5,76879.7,92508.9,93228.1,98701.2,80936.1,73009.0,146829.0,78279.6,76781.5,137474.0,95499.2,83369.2,88621.3,97914.1,118736.0,65870.3,74873.3,74827.5,114967.0,101012.0,122549.0,155909.0,80183.3,121097.0,82061.7,79274.2,71670.1,81448.0,97695.8,105366.0,68880.8,76033.5,71755.3,83853.4,192995.0,135173.0,104297.0,78946.4,87313.2,86353.2,86124.6,82820.8,77848.0,85528.3,129734.0,104475.0,114354.0,117427.0,91748.5,88727.3,98254.5,63125.3,62230.7,90067.8,96542.7,116332.0,77494.8,70988.4,91849.8,138765.0,77394.7
AluSc8,17029.6,11837.5,13910.0,11888.9,11340.9,10566.3,13405.1,12961.3,13603.9,11085.5,9785.64,20346.6,11063.3,10305.0,19669.0,13959.4,11979.5,11134.2,12987.2,15862.8,8365.36,10472.5,9589.76,15705.4,12464.0,17736.0,21316.0,11295.5,16107.7,11215.4,10561.3,9464.22,10958.3,13657.1,15212.7,9829.63,10979.9,9958.31,10685.7,28022.9,19519.3,13910.2,10444.2,12732.8,10557.8,12236.3,11656.1,10617.6,11412.5,17144.5,15179.5,15842.9,16209.3,12400.1,12334.9,12604.0,8845.15,7955.17,12867.6,12874.0,17822.2,11076.2,9601.1,12556.2,19019.7,10386.5
AluSg1,2948.53,2068.31,2650.57,1955.01,1834.74,1808.94,2264.91,2003.04,2455.01,1537.59,1606.19,2797.51,1890.11,1597.68,3381.74,1929.21,1822.75,1915.39,2286.03,2886.97,1431.8,1812.45,1530.32,2423.3,2156.05,3077.46,3565.63,1861.76,3059.82,1743.62,1588.14,1390.67,2033.1,1944.93,2551.56,1532.84,1876.8,1649.88,1848.27,4816.33,2808.89,2151.63,1619.24,1892.93,1945.05,2250.72,2021.69,1659.19,1889.25,3110.56,2472.96,2856.4,3191.61,2194.47,2103.8,1871.94,1516.94,1313.74,2171.39,2234.83,3171.96,1938.28,1845.14,1820.02,3009.53,1744.85
AluSg4,13765.3,8820.49,10775.5,9313.94,7866.53,7563.05,10041.6,9536.74,9445.4,7605.4,7198.41,14580.7,9136.17,7392.65,15275.3,9348.03,8007.39,8614.31,9930.08,13427.4,6300.37,7089.64,7637.73,11898.2,9919.75,14099.6,15913.2,7436.65,13133.4,7865.93,8145.23,6876.9,8217.88,9929.17,12416.9,6771.99,8119.79,7264.17,8546.84,21759.8,13226.4,9796.2,8146.58,7581.22,9104.2,9684.79,7754.23,8524.29,8341.59,12623.6,10964.1,12431.0,12779.1,9658.6,8686.69,8256.69,5955.2,6045.41,9507.37,10132.9,13263.3,7667.31,7277.7,9009.7,14757.7,7738.92
AluSg7,112308.0,82214.6,86523.2,76032.3,73546.3,69409.6,83408.4,82903.8,86837.7,67621.7,64698.2,129836.0,71574.8,64992.0,130520.0,87822.0,73305.7,79250.9,90930.4,113312.0,57085.6,70105.3,67338.3,105271.0,88007.7,112051.0,141301.0,72492.2,112406.0,70905.4,70296.2,62908.3,76362.6,88761.8,102326.0,60763.5,72725.8,64883.7,73656.2,190785.0,121598.0,90372.3,82780.8,74010.8,79288.9,81078.8,73970.7,71171.6,77234.3,121147.0,93737.2,105804.0,109804.0,87763.5,79906.9,81925.9,55713.4,56084.7,80398.8,87969.2,110963.0,71490.6,68921.6,85151.6,127021.0,67912.1
AluSp,151807.0,101889.0,116842.0,100685.0,92091.0,87425.5,111319.0,106465.0,115372.0,87591.2,81629.6,163906.0,95686.3,85076.9,170947.0,109846.0,91891.1,98476.0,115522.0,150167.0,72586.3,94372.9,85998.8,134402.0,112298.0,152466.0,183301.0,89129.9,149682.0,88710.4,89253.9,83151.4,99459.1,111957.0,134714.0,77621.1,92868.8,82238.1,92698.9,249053.0,156177.0,114398.0,99115.7,93025.2,100446.0,110356.0,94731.1,94373.2,98202.3,147529.0,125021.0,137999.0,145592.0,114048.0,100211.0,102215.0,71498.8,75718.9,104309.0,114983.0,151528.0,91551.2,90798.9,109268.0,166497.0,87066.5
AluSq,187015.0,142272.0,144803.0,132112.0,122727.0,117624.0,148902.0,141136.0,139548.0,121817.0,108371.0,228868.0,122088.0,110852.0,222073.0,148873.0,124664.0,139672.0,150821.0,192128.0,97880.4,114871.0,110446.0,179027.0,152391.0,190287.0,251116.0,122491.0,185718.0,119441.0,118396.0,103840.0,125009.0,153774.0,173819.0,100973.0,116609.0,109007.0,123863.0,333599.0,212896.0,150579.0,116679.0,125913.0,129077.0,135130.0,127005.0,116683.0,131672.0,196001.0,155204.0,177544.0,183647.0,147237.0,138237.0,140478.0,93220.4,95121.1,139479.0,153229.0,190618.0,123055.0,115114.0,142417.0,215857.0,114108.0
AluSq10,19157.2,13854.8,13985.6,13008.5,12835.3,11652.9,14444.3,14428.1,13905.9,12600.3,10717.2,21547.2,11965.4,10832.4,20194.2,14034.6,12439.0,12971.6,14671.1,18644.7,9223.08,12153.3,11222.3,17234.5,14711.6,19327.3,24199.0,12321.7,17863.4,11788.6,12083.9,10121.8,13549.2,15129.1,16857.1,10181.2,11259.9,10705.6,11904.5,30115.4,21653.8,15186.0,10965.1,12505.3,13176.7,13613.1,11973.8,11780.7,13529.0,19549.7,15504.1,17475.7,17957.5,14803.5,13689.5,13296.1,9285.49,10007.6,14211.5,14883.6,18849.6,12411.2,12195.5,13717.1,21443.5,11960.2
AluSq2,78288.1,52997.3,60772.6,52301.1,49535.7,45595.9,57353.4,55035.3,58227.1,47196.9,42657.4,85791.4,51076.4,44027.6,87258.5,55459.4,49264.5,52060.2,56588.0,76516.2,39975.4,46676.6,45761.7,69064.0,57586.8,79947.2,98005.5,46611.0,75348.1,46369.2,45241.4,42018.3,50033.7,59159.8,70035.7,41260.2,47416.7,42888.4,47152.3,129523.0,80238.2,59080.1,49603.0,47753.6,50579.9,56350.1,48768.9,45951.0,50650.8,78477.5,63011.4,71064.4,76415.9,56643.9,52798.9,52583.9,37894.2,37900.6,55103.9,59534.9,80936.3,48902.7,46658.4,55842.7,87002.3,45462.9
