GENE_NAME,V888,V108,V2089,V1279,V1090,V777,N85,V839,V1565,V637,V1505,V1834,V67,V1441,V1920,V1857,V630,V456,N84,N60,V1394,V1048,V18,N83,V538,V1742,V1884,V1297,V125,V1921,V1776,V1860,V940,N82,V148,V1456,V2092,V714,V1337,V553,V406,V1788,V2133,V1874,V221,N58,V1591,V2110,V574,V716,N70,V1321,V1800,V806,V513,V1592,V1528,V1823,V344,V1708,V359,V712,V883,V655,V1699,V624
CBL,9560,13632,3786,7831,12246,8889,6631,11672,9674,4066,7654,6131,9360,11574,6849,3420,11058,7546,11445,8266,15374,5876,5443,11025,13186,9914,27640,2885,8034,10339,9415,7125,4600,6571,7694,3277,4956,11910,15153,15123,16696,11259,1098,10396,6138,5631,4980,5481,9599,6179,8348,8563,13829,1472,7177,9426,8456,5732,14692,8522,7241,5921,5344,3960,10879,17541
WDR90,7382,2765,3141,4915,3737,1959,3262,4124,4316,1632,2949,2339,3455,2120,4401,666,4563,896,4947,4240,2117,4645,7773,4843,3368,4844,3641,2396,8216,2473,3130,3941,5045,2954,5914,3332,1885,3936,3407,3288,4375,3687,1018,2909,2657,7310,5862,4085,4923,3177,3388,2806,4452,5103,3488,2866,2757,2776,3638,3680,6528,2119,4596,2039,9419,4429
HLA-DRB1,20836,20308,7257,34069,34289,21520,18493,19162,4939,2013,17775,14925,5708,15629,2994,5903,60326,6729,24919,18838,17828,7807,4736,23181,12088,3442,31408,19778,19252,17877,15703,3487,1256,20353,4639,11546,7026,22694,29020,3829,11799,8021,595,34547,7275,12573,16420,9223,13573,23607,34982,29897,55616,2186,23152,22484,17728,11179,32535,2555,17201,11631,1532,6124,3715,49578
STAT1,13216,9604,12771,15816,22852,8777,10639,8426,33706,7648,13372,7254,11581,8909,22750,4343,38999,12396,11618,8661,14904,10801,15520,12190,4798,12296,10764,8435,9304,11732,9540,9324,9642,52172,17967,25781,10256,36982,19268,5230,9193,15982,2065,12059,17064,8406,28708,9445,15032,11459,12140,10066,8769,39826,8347,14925,10350,11298,9114,8654,22035,8153,10519,12994,11312,14817
C1QTNF4,4864,3625,5881,4351,2664,1509,6357,11540,1925,3620,6455,4575,10782,9350,6769,737,3663,826,10565,7878,5001,1470,12620,6097,10614,8769,20965,2847,6681,5128,5684,5930,1581,3950,1177,9147,3427,8238,3445,3388,952,1120,315,6357,3791,7701,1102,4648,1037,4274,5756,6571,5656,3368,5618,7301,7293,2166,10742,2793,2047,2002,2565,1384,5264,11411
Sep.06,28656,28268,17433,29459,20429,22713,27046,23260,27561,7147,24681,11747,29741,29009,17036,4876,19486,25897,31646,17123,33190,16672,25550,24750,19354,20321,18269,11832,21018,18494,18286,19021,13126,19287,12395,17381,10994,16396,23289,13458,19025,16531,2836,29992,20528,17451,16050,12778,18409,31751,27207,23473,48505,19905,17592,51282,21036,11130,19690,16923,18891,14963,14605,12231,17599,31388
GARS,6867,3940,8482,5899,5919,4585,5859,4824,10293,1540,9850,2410,6336,5905,4484,1671,7267,2868,8573,4657,7760,8308,7711,6671,3554,14179,5143,4447,6278,5931,5672,4935,15453,6738,4901,12107,4573,7401,6162,3531,7056,9345,1820,6405,3650,4374,16813,6255,8369,3955,5175,3220,4953,9908,6240,5250,7733,10722,7064,4423,9880,3235,6255,2900,12346,9837
TSPAN32,6605,5349,1120,5993,7630,5349,2304,5880,2141,4655,2941,7316,7007,4070,14190,775,5567,8612,2580,5529,6478,3555,8411,5698,5804,5340,6145,3263,8062,4045,2516,6255,6375,2410,2222,3519,1775,1525,3075,3060,9206,8163,767,6244,5490,6741,4739,3688,10943,3435,6505,10387,11351,4703,3132,4201,2930,1845,3884,7680,8912,2991,5987,1438,5685,4461
AC068831.18,5361,1548,1302,3328,3195,1801,2279,3334,6174,445,3706,1077,2706,1173,1102,741,4273,503,3545,2930,1525,6191,3459,2947,2263,5280,4211,1433,2224,2422,3206,3342,4288,2119,3448,2774,2327,1592,4063,1468,2494,5060,453,1979,1586,3633,10680,1926,3642,1423,1450,1175,2076,4109,3156,3114,2706,3479,2270,3109,2247,1358,2605,1580,4094,7106
HIST1H2BE,20054,3882,30590,6833,8458,3380,8144,6456,26119,337,16506,1091,17281,7457,4496,1556,8549,1417,15562,11174,10990,18970,15633,7565,4863,27088,5282,2811,11729,9848,8294,13681,14682,5963,13124,16318,15054,5779,8251,4147,6007,16286,1706,7437,3852,11523,22841,16636,13947,5966,13687,3495,7292,10750,8340,6511,12973,11707,5139,4528,18727,2306,14109,2040,16853,16011
EIF4A1,19333,17024,15246,17437,23767,18000,15585,17654,11513,5475,18351,10836,20109,18487,14822,3957,18979,8203,20167,15794,21734,18821,23583,20574,16860,21303,14466,7621,15260,16656,16331,15101,16444,15201,9901,15907,11391,19758,14012,9120,22006,14090,3116,28705,10769,18673,18558,16173,16468,18662,12731,11819,18232,19550,13063,18157,14636,13073,15953,17470,24172,12177,13449,8820,25456,14892
PPIA,48650,23104,50565,32520,35701,24313,38974,28919,85510,6974,57025,14333,49401,40974,18911,9038,45888,13125,56053,31766,49992,50786,76375,39160,23192,54759,25102,17602,39871,31402,39870,34719,43570,35445,29999,49774,29203,37456,37361,14315,28164,55464,5683,48760,21654,40299,45527,36947,46235,23660,38507,20210,45431,50362,37783,29097,46386,45652,39099,30661,49168,17259,42968,11651,45898,58937
SORL1,23882,61851,36648,46618,51168,53714,45040,89427,33939,27783,38775,54565,45526,101446,24440,12731,51683,71081,56317,44051,75570,18877,22308,68013,88611,30359,109357,37630,27937,46485,40395,33195,10668,42373,38325,45491,15517,59833,49855,50412,41844,31444,4878,80106,41750,39489,11461,30704,17260,42026,61491,86360,80743,15332,33512,71969,43461,12793,72960,57413,15989,60865,15713,16632,25464,79271
KIAA1683,1914,2400,1417,2047,792,1773,5307,1242,494,357,1339,855,1138,5972,1443,1237,1559,2835,11388,6857,3759,1494,1095,11593,5094,1180,790,5088,1669,1212,1674,1690,867,7389,3923,1245,852,1598,2120,4276,1693,521,523,2554,3198,2834,570,1097,2569,9308,1906,3553,4338,913,1846,2020,919,1027,1059,1057,1329,2257,1594,3782,2365,1291
AVL9,7597,7992,3728,8017,8493,8912,5331,9463,11557,1369,6253,5735,7521,5148,4098,2172,8150,4812,7719,5070,9247,5771,8839,5464,9003,8263,9335,6908,7455,7704,5012,5878,6755,6335,3408,9460,4257,8650,7981,5257,11295,11121,1105,10650,3811,6563,7677,4404,9072,6774,7149,9249,9431,9251,7469,8607,8205,5218,12266,5189,7492,5903,5146,3208,6697,12774
DENND5A,7171,10025,7553,7362,11768,12533,12149,10449,9990,4113,6209,6335,8160,11147,9637,2715,8945,10614,12744,7935,11059,3844,6632,10591,9594,6706,13021,7661,6665,7392,7960,6214,3584,11706,6505,6108,3507,14716,10074,9125,8457,7544,1167,13958,7287,7035,2788,5504,4708,13147,9578,9953,18118,7311,5975,13404,6347,4454,9463,9551,4646,8528,4229,4980,7089,9557
HIST1H2AL,18149,3025,30923,9325,7724,2264,19553,8742,27328,1375,18339,1701,16380,6688,3647,2216,11460,795,20811,11570,8148,15491,17816,11655,5761,35074,5883,2501,16503,11003,11997,14244,14196,10646,17663,15701,22802,5036,9930,3988,11313,21045,3510,4527,3658,9064,21331,20694,11963,4277,10702,3234,6502,11714,9996,5237,25915,12468,4063,4942,20965,1705,16610,4508,25980,15052
CBX2,9862,8334,9852,6099,5863,8156,3275,8466,4686,2588,6245,4396,13037,12911,8591,1488,7156,10025,5239,7280,11793,5915,8852,7025,5958,9486,9131,3343,9058,5872,5229,7767,5346,3342,7451,8582,4874,5211,6415,2981,9456,8173,1079,9732,7318,7877,4925,5192,3624,10522,9806,14727,14399,7230,6557,10643,6364,3880,3796,9069,7907,6058,7641,5380,9906,9526
SPNS2,5885,8470,4737,5728,10885,8525,4499,6129,3466,2377,3170,4811,11293,8254,8501,902,3711,6968,4211,5580,12907,2701,5747,4901,8504,6357,7644,3271,5314,3356,3061,3698,1993,3340,4068,3897,2142,7887,4945,6824,14211,6908,812,8813,7012,5189,2419,3893,2474,9645,5005,15822,13841,6335,4407,5147,3618,1594,6345,3872,3668,3914,2957,1688,3675,6984
H2AFY,69340,71221,55909,74444,41280,99793,59136,36217,80354,13627,36069,64625,60581,55198,50256,14537,69330,115134,73983,54584,70735,24055,60646,85947,37229,56562,47745,30139,60444,58861,55257,45987,33616,43274,50650,58030,27280,63612,98701,60734,49846,67536,6689,131212,55854,42841,28548,47592,31655,48261,54688,140079,80392,65619,28789,79997,28925,32771,32523,38190,58903,32788,43325,27492,68758,41704
MT-CO3,250675,200185,302140,221496,251625,85942,256671,218858,375539,82614,352309,24223,323940,298593,113875,99632,203761,95796,345191,284088,147072,437377,282915,241819,252028,353114,83741,158432,249177,217071,304682,179709,359855,152727,158347,257240,152314,185156,172540,180058,356233,435282,63694,145314,135687,148458,318075,202465,227955,100425,341330,194187,157515,404151,214128,214022,415278,344414,181757,134663,296020,165331,280778,89784,231507,366851
PARP14,15779,20355,16590,24959,24757,16109,14777,15437,25685,5842,12358,11492,18893,13153,23552,5491,31082,16646,13996,11269,26774,9594,18731,24535,11617,14026,13118,9567,14205,16115,14099,15247,14638,36073,40083,22069,7479,33711,20400,11649,15182,14680,2369,15135,18048,14300,17146,9539,18538,16089,16806,15290,19195,30002,11397,23578,10530,12893,13185,18753,23404,17830,13893,8814,16009,15974
FAM53C,9168,5599,7039,5544,7529,4629,15352,3094,8405,2762,4341,2893,7960,8390,2910,1836,6657,4300,10747,5140,8837,4535,10069,7690,3110,11150,3932,2555,6337,6065,6395,5046,8103,9259,5065,6912,4643,4837,5958,4475,7303,5109,1198,8078,6846,5641,3527,9640,5275,4475,7865,6459,11241,6885,2684,6507,5638,7719,4857,5521,8323,3798,5642,1135,7667,5029
FANCA,9614,5312,6128,7388,5527,4350,4973,5456,8806,1653,6232,2526,6053,4480,4688,1427,6711,1727,6806,6207,5477,7756,7504,5680,3749,7704,5642,2702,8987,4492,4636,4996,6738,4576,6580,7470,3077,7527,5592,3933,7035,8326,1183,6921,4540,8358,9428,6053,7181,5127,5169,3420,5620,7510,6271,5089,4951,3900,4666,5345,8681,3032,7177,4035,9782,8459
