GENE_NAME,V888,V108,V2089,V1279,V1090,V777,N85,V839,V1565,V637,V1505,V1834,V67,V1441,V1920,V1857,V630,V456,N84,N60,V1394,V1048,V18,N83,V538,V1742,V1884,V1297,V125,V1921,V1776,V1860,V940,N82,V148,V1456,V2092,V714,V1337,V553,V406,V1788,V2133,V1874,V221,N58,V1591,V2110,V574,V716,N70,V1321,V1800,V806,V513,V1592,V1528,V1823,V344,V1708,V359,V712,V883,V655,V1699,V624
YWHAB,5613,7478,26328,7519,5434,4116,4887,4470,8924,3746,7951,2986,13869,18369,3701,1780,7513,2107,7424,3932,6285,6784,6368,7126,4609,19261,6097,5190,15719,19230,4932,4524,5055,5831,2554,4664,2867,5167,7923,3866,3527,8248,2786,8129,2445,4276,5135,5359,6669,6348,5182,2800,12855,17413,5011,3751,5520,4491,23754,4219,5134,2688,13517,1696,11613,8322
ZMAT3,2518,897,2840,4173,8130,3552,2067,6476,7998,1960,11244,1624,7171,8137,2621,1218,1533,1206,2370,1307,3760,5721,9709,2454,5222,4885,6879,3124,2958,2349,2644,2806,3511,1877,1562,4299,3980,6149,3805,5253,7305,3765,370,5136,2466,1661,9686,2905,11422,6366,2269,2038,6393,5970,8130,1716,10793,1225,3656,2196,5653,2357,2847,1304,2802,12123
SNX19,9370,6159,8861,6810,7773,7268,6367,4356,7612,2636,9532,5022,5758,7174,7991,2338,8839,5391,8382,6635,8024,6134,7404,6282,5902,6148,13410,5732,5548,7725,6507,6760,4584,4296,3916,7751,4732,6389,8248,6095,34161,69624,1221,5512,5070,7200,8867,6322,7161,5159,8594,7142,9778,7667,7323,6980,5952,6695,6929,6636,8475,3969,6884,3489,5563,7737
WDR90,7382,2765,3141,4915,3737,1959,3262,4124,4316,1632,2949,2339,3455,2120,4401,666,4563,896,4947,4240,2117,4645,7773,4843,3368,4844,3641,2396,8216,2473,3130,3941,5045,2954,5914,3332,1885,3936,3407,3288,4375,3687,1018,2909,2657,7310,5862,4085,4923,3177,3388,2806,4452,5103,3488,2866,2757,2776,3638,3680,6528,2119,4596,2039,9419,4429
ZNF664,8402,4665,8533,7320,8157,7008,6548,6777,2971,2317,13647,2553,7879,3138,5360,1773,9479,4127,3335,2598,8485,2675,12553,3233,6383,7831,6610,6532,7707,3605,8084,6357,8346,2784,5373,7904,3916,8159,4441,2596,5527,6753,1268,8396,4861,6877,11579,6734,11603,11974,7530,4944,2664,2242,9007,9424,10322,6299,3533,6622,2032,913,8650,388,7053,10161
HLA-DRB1,20836,20308,7257,34069,34289,21520,18493,19162,4939,2013,17775,14925,5708,15629,2994,5903,60326,6729,24919,18838,17828,7807,4736,23181,12088,3442,31408,19778,19252,17877,15703,3487,1256,20353,4639,11546,7026,22694,29020,3829,11799,8021,595,34547,7275,12573,16420,9223,13573,23607,34982,29897,55616,2186,23152,22484,17728,11179,32535,2555,17201,11631,1532,6124,3715,49578
TPM1,3889,1022,446,1566,2291,2209,1108,1437,4732,630,6444,1584,2949,2228,2323,933,3402,3414,1703,3526,3010,4104,7088,1482,1413,3570,1124,1230,3287,2321,2110,3195,4003,1746,1244,1963,1627,957,903,766,1571,4876,1171,3237,1803,4127,7324,3470,12896,3588,2993,3086,1509,2998,6321,3172,4078,4628,316,3440,9327,799,3849,2062,3639,3539
PIEZO2,2510,2475,1047,1403,6892,523,503,1707,19228,189,5630,212,6981,3438,1812,1470,3570,322,1428,1034,246,8100,7164,278,647,2018,448,1091,776,2081,475,870,2444,445,1205,4336,883,1005,2619,74,4006,4923,896,2658,3902,1823,4107,1339,5348,2498,1109,412,223,2634,2606,6533,1802,2619,2105,1273,3056,3711,1304,6621,637,1598
MT-ND1,32416,65755,60726,29317,46630,24248,58311,50059,44623,71911,37130,12578,42818,31544,26054,63044,29264,57193,58188,83436,22238,55722,55712,52276,62943,68163,17888,76789,59972,55792,69122,37774,55544,49404,27052,34925,25242,82003,47434,45631,132317,53712,23328,32909,28931,14602,43576,34593,39944,32241,49577,39738,16124,110188,37039,47727,59861,41777,61342,24299,38254,67004,34584,37181,49558,34694
IFITM1,145,736,5205,957,5001,2508,1592,1865,5513,950,3071,547,1210,3572,1424,187,3823,553,836,462,2120,3592,7835,1736,1191,1016,2022,1209,1259,416,626,566,2817,8883,6870,8569,896,6663,2003,1114,939,2982,575,458,4466,923,2965,358,1367,2630,1247,2858,5261,12656,1073,952,1215,582,1960,687,4731,1462,555,1842,233,3116
C1QTNF4,4864,3625,5881,4351,2664,1509,6357,11540,1925,3620,6455,4575,10782,9350,6769,737,3663,826,10565,7878,5001,1470,12620,6097,10614,8769,20965,2847,6681,5128,5684,5930,1581,3950,1177,9147,3427,8238,3445,3388,952,1120,315,6357,3791,7701,1102,4648,1037,4274,5756,6571,5656,3368,5618,7301,7293,2166,10742,2793,2047,2002,2565,1384,5264,11411
PCGF5,6327,3509,5464,6510,7873,5530,6306,4392,10305,1394,9554,3596,5400,7541,4282,1911,8449,5372,8697,4286,12695,6391,8596,8142,3251,7568,4291,2359,5279,6114,5570,5173,10610,6900,4572,9403,3513,4902,4576,1591,5110,7368,800,6375,4429,5134,11512,5108,11110,8621,5954,4789,5491,8009,7725,8868,6420,7149,6469,6839,6909,4506,6162,2036,10033,8729
