GENE_NAME,V888,V108,V2089,V1279,V1090,V777,N85,V839,V1565,V637,V1505,V1834,V67,V1441,V1920,V1857,V630,V456,N84,N60,V1394,V1048,V18,N83,V538,V1742,V1884,V1297,V125,V1921,V1776,V1860,V940,N82,V148,V1456,V2092,V714,V1337,V553,V406,V1788,V2133,V1874,V221,N58,V1591,V2110,V574,V716,N70,V1321,V1800,V806,V513,V1592,V1528,V1823,V344,V1708,V359,V712,V883,V655,V1699,V624
MIR4487,0,0,0,0,0,0,2,0,0,0,0,4,0,0,1,1,0,0,0,4,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,10,0,10,0,2,3,0,0,3,0,0,0,13,1,0,0,0,3,0,1,0,1,0,0,18,0,5,0,0
MIR8085,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MIR6860,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
MIR1206,22,9,4,17,23,11,12,30,28,3,45,4,11,15,18,5,9,16,9,16,9,33,32,8,9,14,11,18,16,12,14,7,26,11,13,24,2,9,12,21,31,30,2,5,8,14,24,24,16,23,5,1,10,16,21,56,14,12,13,25,9,12,23,32,8,17
MIR4697,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
MIR421,36,104,23,88,106,93,38,95,36,38,26,140,56,57,70,36,67,192,46,59,67,42,60,104,145,47,83,74,81,87,69,64,50,53,62,29,10,43,91,91,107,55,5,83,88,31,55,26,76,45,47,85,87,56,46,120,16,45,37,99,46,68,56,45,57,67
MIR934,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MIR190B,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,2,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,5,5,0,0,0,0,0,4,1,0,0,0,2,0,0,0,5,0,3,5,0,2,4,0
MIR3648-1,72814,24810,88313,41432,25932,41459,93587,28450,7789,227527,16103,28160,118486,48596,35030,15534,30154,36619,34766,91775,33061,19041,63755,41574,42206,144309,55145,36012,87388,40843,23860,18828,8823,101407,85415,16160,45723,48369,21702,67813,72724,46958,43942,31110,7926,57120,46718,19320,22696,49597,58759,107952,79700,16632,30802,36134,21112,9367,82739,28537,199115,23629,6494,67532,28576,22603
MIR4707,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,247,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MIR4430,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,0,0,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR5588,1,0,0,0,2,1,2,1,1,0,0,0,0,0,1,0,1,1,0,1,1,4,1,0,0,1,0,0,0,0,0,2,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,3,0,2,2,0,1,0,0,1,0,2,0,1,1,0,1
MIR1279,3,3,3,3,5,0,5,6,1,0,2,0,5,6,3,0,1,4,8,3,2,4,4,2,3,3,2,0,10,1,5,5,0,1,3,2,2,0,3,0,1,2,1,3,3,2,0,8,1,2,0,3,6,0,0,4,2,0,5,7,3,1,0,3,1,1
MIR569,3,0,2,4,7,10,5,4,8,1,16,10,6,0,9,5,4,6,4,5,4,7,10,3,6,6,7,2,2,6,5,4,3,3,3,5,1,8,1,4,8,3,0,9,0,4,5,4,14,5,3,7,4,8,5,9,2,4,2,5,3,4,9,2,3,3
