GENE_NAME,V888,V108,V2089,V1279,V1090,V777,N85,V839,V1565,V637,V1505,V1834,V67,V1441,V1920,V1857,V630,V456,N84,N60,V1394,V1048,V18,N83,V538,V1742,V1884,V1297,V125,V1921,V1776,V1860,V940,N82,V148,V1456,V2092,V714,V1337,V553,V406,V1788,V2133,V1874,V221,N58,V1591,V2110,V574,V716,N70,V1321,V1800,V806,V513,V1592,V1528,V1823,V344,V1708,V359,V712,V883,V655,V1699,V624
MIR378D1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR7850,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,3,1,0,0,0,0,1,2,2,0,3,0,0,0,3,0,0,2,0,0,0,0,3,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
MIR5000,3,12,0,7,5,4,4,6,6,9,2,9,1,0,11,1,6,4,6,8,0,3,5,8,7,5,4,8,4,8,4,3,6,3,5,7,0,10,4,9,11,0,0,11,0,2,2,4,0,8,0,2,0,14,1,2,0,2,2,3,3,0,3,3,3,4
MIR2115,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MIR6777,10,5,12,3,14,2,8,10,3,9,7,8,8,17,21,0,2,6,10,16,3,16,12,8,8,12,21,3,6,1,8,8,4,8,9,10,6,1,8,9,29,7,4,6,14,10,31,5,13,8,5,11,18,28,1,5,2,5,9,11,20,5,6,3,9,5
MIR3926-2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0
MIR3122,12,2,3,5,6,1,18,4,12,1,12,5,6,2,4,7,9,0,17,3,3,4,3,18,4,6,9,1,2,3,13,6,5,12,3,10,3,3,9,0,2,8,1,2,4,3,13,2,19,7,3,3,2,7,8,5,8,2,3,7,4,3,8,2,7,10
MIR6859-2,39,41,18,29,31,42,27,28,26,17,16,46,42,16,40,13,40,43,25,22,24,32,18,32,33,38,22,35,55,20,31,29,25,23,56,21,14,19,26,51,26,34,5,29,18,26,52,30,20,30,29,63,49,45,18,27,20,19,18,26,66,24,40,25,50,25
MIR135A2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
MIR1299,28,121,41,62,55,74,15,15,14,6,35,30,52,39,88,16,32,21,53,49,14,14,87,49,28,58,17,51,27,69,43,25,22,19,42,39,11,36,58,8,35,42,2,79,38,22,21,12,18,63,40,49,29,38,30,75,10,20,35,58,34,52,28,21,23,36
