GENE_NAME,V888,V108,V2089,V1279,V1090,V777,N85,V839,V1565,V637,V1505,V1834,V67,V1441,V1920,V1857,V630,V456,N84,N60,V1394,V1048,V18,N83,V538,V1742,V1884,V1297,V125,V1921,V1776,V1860,V940,N82,V148,V1456,V2092,V714,V1337,V553,V406,V1788,V2133,V1874,V221,N58,V1591,V2110,V574,V716,N70,V1321,V1800,V806,V513,V1592,V1528,V1823,V344,V1708,V359,V712,V883,V655,V1699,V624
MIR8081,0,0,0,0,0,2,0,0,0,0,0,1,0,2,3,2,0,0,0,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MIR548C,4,10,6,8,3,3,4,2,3,2,1,3,1,1,2,3,5,4,10,5,8,4,0,12,5,4,9,3,8,5,1,2,3,4,9,3,7,4,6,16,14,6,4,3,0,2,3,0,4,7,1,2,10,5,5,4,1,2,1,2,5,7,3,6,3,4
MIR7850,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,3,1,0,0,0,0,1,2,2,0,3,0,0,0,3,0,0,2,0,0,0,0,3,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
MIR3926-2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0
MIR3122,12,2,3,5,6,1,18,4,12,1,12,5,6,2,4,7,9,0,17,3,3,4,3,18,4,6,9,1,2,3,13,6,5,12,3,10,3,3,9,0,2,8,1,2,4,3,13,2,19,7,3,3,2,7,8,5,8,2,3,7,4,3,8,2,7,10
MIR1299,28,121,41,62,55,74,15,15,14,6,35,30,52,39,88,16,32,21,53,49,14,14,87,49,28,58,17,51,27,69,43,25,22,19,42,39,11,36,58,8,35,42,2,79,38,22,21,12,18,63,40,49,29,38,30,75,10,20,35,58,34,52,28,21,23,36
MIR384,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
MIR199A2,7,0,1,0,0,0,3,0,0,0,0,0,2,2,2,3,0,5,1,6,1,1,0,3,0,2,1,0,4,0,0,3,1,3,0,1,1,0,0,0,1,1,1,1,3,8,1,1,1,0,2,14,1,1,0,3,1,0,0,1,3,0,0,3,2,0
MIR4297,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,2,2,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,2,2,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,2
MIR3684,18,18,26,9,21,3,7,6,6,7,22,21,8,17,10,6,17,17,10,7,8,18,8,17,24,15,25,42,13,21,35,9,6,15,6,10,12,7,38,9,61,48,3,10,10,5,11,19,23,11,9,5,4,16,11,13,25,7,8,26,8,9,7,6,22,29
MIR4517,2,1,1,1,1,2,1,1,1,1,1,1,1,1,87,1,1,1,1,2,1,2,2,2,1,1,2,1,1,1,1,2,2,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1
MIR4435-2,10,7,0,12,4,12,1,8,7,3,6,3,2,17,8,1,6,10,3,15,7,8,21,5,6,12,8,16,14,4,8,10,18,6,3,7,2,16,6,13,18,9,3,10,6,11,20,14,8,12,6,5,17,16,12,13,6,6,18,13,14,15,10,13,9,4
MIR7853,4,0,4,12,6,3,5,46,0,0,13,6,13,4,3,0,11,0,23,16,2,8,2,2,36,31,15,2,7,12,11,7,0,14,9,19,10,6,2,7,0,6,0,10,0,11,5,11,79,21,5,4,2,8,3,10,15,4,4,48,23,16,5,5,6,30
MIR6737,4,10,8,4,4,3,2,4,3,2,1,1,3,2,7,2,4,2,6,13,1,9,0,1,1,7,2,2,11,2,2,1,3,2,17,7,5,28,0,37,6,5,19,1,2,10,1,2,5,15,13,3,1,3,8,2,1,12,4,2,1,30,6,12,4,1
