GENE_NAME,V888,V108,V2089,V1279,V1090,V777,N85,V839,V1565,V637,V1505,V1834,V67,V1441,V1920,V1857,V630,V456,N84,N60,V1394,V1048,V18,N83,V538,V1742,V1884,V1297,V125,V1921,V1776,V1860,V940,N82,V148,V1456,V2092,V714,V1337,V553,V406,V1788,V2133,V1874,V221,N58,V1591,V2110,V574,V716,N70,V1321,V1800,V806,V513,V1592,V1528,V1823,V344,V1708,V359,V712,V883,V655,V1699,V624
HIST1H2BF,27412,5909,40037,12788,11430,7181,31376,13197,33365,1363,25699,2512,22151,15877,8077,3624,22421,5249,28782,13525,20446,18708,28602,16128,11295,32426,8277,6423,17460,16186,16828,18453,17428,17557,21569,20418,22890,7649,19721,3632,14141,23840,3305,8814,5479,15385,25799,17233,22103,9476,21049,8377,13658,13223,14081,9103,36596,15562,8205,9914,27515,2422,21019,4614,28515,30225
GUCY1A3,8179,13537,5802,9665,9192,25623,3548,7796,5202,2372,6882,8524,13068,12103,14252,2340,13138,24899,5338,12216,19245,3195,5366,8266,7651,6083,5682,7046,8171,8966,5802,6918,4201,5265,8063,6617,4127,6471,7063,5276,7998,6600,1767,20381,9257,8819,4709,5207,9326,41830,21902,28306,51345,7485,9223,22401,6311,3237,11053,10752,5982,10307,6400,4046,5933,11086
DEFA1,1542,17,2496,286,2155,110,13,302,504,56,896,1133,778,62,396,1306,1084,9,41,9941,24,599,1410,25,550,8207,75,37,384,1221,1419,703,452,12,1783,144,481,4,261,784,58,266,367,446,42,16443,514,271,83,238,3676,179,247,1018,82,184,699,704,193,27,18926,18,583,396,292,12
EPB41L2,7764,2376,9193,6635,10127,2861,5117,3559,14059,1404,6798,1361,5218,7942,2874,3995,12042,1221,6664,3764,5599,10398,4390,6798,5615,5598,3299,2285,4195,5677,4796,7779,5562,4358,6120,5607,5128,4494,9687,4409,4468,4329,524,3566,5382,3601,6596,4295,7394,5020,4350,1672,1493,7620,3697,6974,5571,13279,5225,4828,11372,4710,4651,4189,7978,5314
RNF220,12902,16874,10098,13974,15145,18924,12443,14295,19120,4871,14150,14649,13543,19260,19713,3470,13720,17940,13759,17356,12890,10221,14206,16920,15459,14377,15906,9908,15623,11525,10114,10608,10334,12370,8540,10285,6178,14636,12310,15908,15255,13173,2342,29224,10194,14289,10830,9497,8707,20647,20049,25506,26656,14456,12841,26348,11510,8460,22826,14660,13801,16148,12227,9342,13015,14845
ZDHHC20,2460,5215,11196,5802,5745,4774,8151,2675,2701,2328,11605,3517,7699,8386,3586,1680,6600,5070,2788,5096,3526,8557,11491,8379,6821,8716,7237,7240,5832,6587,7626,5238,7807,2272,6770,8471,3860,6485,1976,7583,11036,13387,835,6395,1645,5812,8911,5259,2694,3452,1825,5190,8331,7095,2531,8348,2518,5799,10492,5515,2001,4304,1517,7300,7326,14846
LRPAP1,8909,3866,9558,6063,5412,3893,5302,6530,8343,2401,9329,3701,7755,6766,3629,1536,9816,3073,7903,5957,7826,9388,10552,6324,4966,10876,8236,4289,7915,5448,5140,6932,6544,4953,4944,10823,4414,7768,5593,7001,8680,12405,1569,7575,4399,7487,8074,6316,5792,7688,6395,4211,6796,9517,6439,6635,7951,6743,11214,5847,9453,3380,6701,3949,6269,12122
MT-ND1,32416,65755,60726,29317,46630,24248,58311,50059,44623,71911,37130,12578,42818,31544,26054,63044,29264,57193,58188,83436,22238,55722,55712,52276,62943,68163,17888,76789,59972,55792,69122,37774,55544,49404,27052,34925,25242,82003,47434,45631,132317,53712,23328,32909,28931,14602,43576,34593,39944,32241,49577,39738,16124,110188,37039,47727,59861,41777,61342,24299,38254,67004,34584,37181,49558,34694
MIDN,6611,5128,9008,3684,3232,3138,5309,4466,7443,3254,4997,3949,6136,4952,3716,1505,4624,3915,7333,7577,6768,4971,5081,5070,6054,9397,7519,7346,5371,3757,3331,4363,4598,5727,5809,4993,4587,5045,4930,10435,11671,6344,1584,5490,3269,6970,4204,5935,8616,7701,6849,5011,9019,4874,5398,3186,6087,4639,14840,4158,7461,4000,4975,5279,8787,6590
MPO,439820,97419,541159,402483,142076,4675,223553,573356,214103,66100,440357,45067,647038,751722,12950,44768,459839,2132,533760,301725,47607,326286,436478,259897,302529,938408,310409,292435,629824,462852,514238,357380,186367,194246,127895,969871,241721,263083,233411,7251,676559,572557,42627,231098,307507,483826,190108,293118,45480,364121,239099,29028,27660,725067,165979,79836,492332,242211,1049696,398628,317536,25121,272101,111393,392339,1268243
KLF9,1911,501,1143,3035,4888,2848,3916,2272,5715,2149,2161,260,2962,5960,3371,797,2981,1686,10142,3647,4108,977,2778,4695,2211,1780,3047,1749,1822,1870,2457,1745,2200,4926,2569,1286,898,2186,2109,3312,845,1055,1062,11558,8015,3058,1181,2571,10600,4355,2992,363,310,2115,2126,19031,2447,2237,328,4750,1590,3169,1938,939,1123,2420
TSPAN32,6605,5349,1120,5993,7630,5349,2304,5880,2141,4655,2941,7316,7007,4070,14190,775,5567,8612,2580,5529,6478,3555,8411,5698,5804,5340,6145,3263,8062,4045,2516,6255,6375,2410,2222,3519,1775,1525,3075,3060,9206,8163,767,6244,5490,6741,4739,3688,10943,3435,6505,10387,11351,4703,3132,4201,2930,1845,3884,7680,8912,2991,5987,1438,5685,4461
RIMBP2,309,12,16,394,1289,3302,178,17,417,103,276,244,1424,11,6082,160,14,167,451,35,56,0,410,43,65,35,36,281,773,253,12,246,13,18,28,261,109,19,22,2,10,0,228,34,3,270,28,389,360,540,90,28,2546,23,0,2925,185,0,1,0,151,6,16,91,33,0
