GENE_NAME,V888,V108,V2089,V1279,V1090,V777,N85,V839,V1565,V637,V1505,V1834,V67,V1441,V1920,V1857,V630,V456,N84,N60,V1394,V1048,V18,N83,V538,V1742,V1884,V1297,V125,V1921,V1776,V1860,V940,N82,V148,V1456,V2092,V714,V1337,V553,V406,V1788,V2133,V1874,V221,N58,V1591,V2110,V574,V716,N70,V1321,V1800,V806,V513,V1592,V1528,V1823,V344,V1708,V359,V712,V883,V655,V1699,V624
GUCY1A3,8179,13537,5802,9665,9192,25623,3548,7796,5202,2372,6882,8524,13068,12103,14252,2340,13138,24899,5338,12216,19245,3195,5366,8266,7651,6083,5682,7046,8171,8966,5802,6918,4201,5265,8063,6617,4127,6471,7063,5276,7998,6600,1767,20381,9257,8819,4709,5207,9326,41830,21902,28306,51345,7485,9223,22401,6311,3237,11053,10752,5982,10307,6400,4046,5933,11086
PCMTD1,4592,7215,4655,5437,5780,6391,3178,9722,5459,894,4700,4864,5980,4645,5433,1163,6381,7822,4765,4082,8825,4070,7286,7102,6310,5197,3812,5319,4872,5254,2478,5389,6297,5038,5145,4050,2466,4831,5933,4746,9634,6686,401,7273,2835,2979,4399,3236,5732,9681,5870,6579,7243,2429,5216,10883,4123,3159,5976,6795,4417,5558,4462,4215,5466,7730
RNF220,12902,16874,10098,13974,15145,18924,12443,14295,19120,4871,14150,14649,13543,19260,19713,3470,13720,17940,13759,17356,12890,10221,14206,16920,15459,14377,15906,9908,15623,11525,10114,10608,10334,12370,8540,10285,6178,14636,12310,15908,15255,13173,2342,29224,10194,14289,10830,9497,8707,20647,20049,25506,26656,14456,12841,26348,11510,8460,22826,14660,13801,16148,12227,9342,13015,14845
PDIA3,17497,8802,20581,17802,13288,8790,19365,14554,24761,4835,32434,7513,14570,13737,8233,4830,23836,6547,22200,16400,14889,21216,14301,19331,10898,19938,19824,14214,21475,20964,20500,13231,14564,17687,9123,25417,10801,18947,17142,7697,25313,24947,2902,13383,7453,13265,26160,15307,25789,19624,17067,8009,12798,26254,21599,12387,24518,15341,27634,14975,20251,6898,16669,13316,19158,25527
IGF1R,11947,3970,10389,10814,1618,13385,8765,14865,3494,5587,5818,2161,15553,35183,2705,3347,10305,12760,12714,14937,11229,2569,14831,9756,5256,13923,11256,5517,8173,12961,10965,8005,13791,8817,4902,11693,6623,12068,3390,1476,4915,7017,1410,11611,17764,9633,6610,12502,8572,14362,15529,15482,1225,13847,6279,27223,4265,8333,4807,20968,12058,12745,13739,4808,15054,4990
MYLK4,493,1053,218,802,830,495,442,653,566,133,413,2432,929,586,2055,274,763,22954,403,1627,437,299,592,895,809,1106,159,177,927,360,519,514,639,256,956,546,325,601,390,286,3427,601,402,1953,326,341,477,436,867,4824,697,12886,1956,679,503,4870,457,603,710,688,649,577,968,385,705,762
STAT1,13216,9604,12771,15816,22852,8777,10639,8426,33706,7648,13372,7254,11581,8909,22750,4343,38999,12396,11618,8661,14904,10801,15520,12190,4798,12296,10764,8435,9304,11732,9540,9324,9642,52172,17967,25781,10256,36982,19268,5230,9193,15982,2065,12059,17064,8406,28708,9445,15032,11459,12140,10066,8769,39826,8347,14925,10350,11298,9114,8654,22035,8153,10519,12994,11312,14817
Sep.06,28656,28268,17433,29459,20429,22713,27046,23260,27561,7147,24681,11747,29741,29009,17036,4876,19486,25897,31646,17123,33190,16672,25550,24750,19354,20321,18269,11832,21018,18494,18286,19021,13126,19287,12395,17381,10994,16396,23289,13458,19025,16531,2836,29992,20528,17451,16050,12778,18409,31751,27207,23473,48505,19905,17592,51282,21036,11130,19690,16923,18891,14963,14605,12231,17599,31388
HIST2H2BE,33017,10276,45362,17575,19576,14514,56730,20216,46272,2237,30992,3215,24067,38174,13454,4831,26227,12030,42862,21697,25072,21083,22883,31149,25316,40550,7365,15929,26274,21064,21576,20975,17355,31744,25514,23427,34976,9781,23129,8861,23260,29269,9118,14804,11782,20159,24071,34194,24621,15902,28663,15577,18163,16928,16267,27451,50442,20931,13135,17366,30957,7985,28025,8208,28365,30607
COTL1,6193,4352,6261,5187,6318,866,3012,4328,15367,997,10562,2490,8976,3941,3890,2222,5777,347,6671,5626,6142,5785,4673,3599,3903,8902,17805,6446,5701,4050,4214,3724,3589,2293,1927,8350,4323,4300,6159,13432,7618,8175,1419,3764,1663,4149,6621,5421,38858,5000,3790,1675,2900,7983,6245,4864,6588,4744,6248,4503,8925,2535,3939,5148,4342,11820
